Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
2011-05-23 00:00:00-04:00,26.65999984741211,27.020000457763672,26.3799991607666,26.969999313354492,3955600,0.0,0.0,SNPS
2011-05-30 00:00:00-04:00,27.030000686645508,27.479999542236328,26.31999969482422,26.459999084472656,5103700,0.0,0.0,SNPS
2011-06-06 00:00:00-04:00,26.34000015258789,26.600000381469727,25.270000457763672,25.280000686645508,6321600,0.0,0.0,SNPS
2011-06-13 00:00:00-04:00,25.360000610351562,25.479999542236328,24.719999313354492,24.93000030517578,5228100,0.0,0.0,SNPS
2011-06-20 00:00:00-04:00,24.81999969482422,25.81999969482422,24.81999969482422,25.350000381469727,3915400,0.0,0.0,SNPS
2011-06-27 00:00:00-04:00,25.260000228881836,26.1200008392334,25.260000228881836,25.93000030517578,3482700,0.0,0.0,SNPS
2011-07-04 00:00:00-04:00,25.90999984741211,26.290000915527344,25.709999084472656,26.030000686645508,2698000,0.0,0.0,SNPS
2011-07-11 00:00:00-04:00,25.75,25.920000076293945,24.309999465942383,24.559999465942383,3498200,0.0,0.0,SNPS
2011-07-18 00:00:00-04:00,24.420000076293945,24.989999771118164,24.049999237060547,24.889999389648438,3260100,0.0,0.0,SNPS
2011-07-25 00:00:00-04:00,24.6299991607666,24.950000762939453,23.510000228881836,23.969999313354492,2926600,0.0,0.0,SNPS
2011-08-01 00:00:00-04:00,24.219999313354492,24.260000228881836,22.110000610351562,22.540000915527344,5446100,0.0,0.0,SNPS
2011-08-08 00:00:00-04:00,21.989999771118164,22.559999465942383,21.3700008392334,22.350000381469727,7380900,0.0,0.0,SNPS
2011-08-15 00:00:00-04:00,22.520000457763672,24.479999542236328,22.229999542236328,23.389999389648438,11596000,0.0,0.0,SNPS
2011-08-22 00:00:00-04:00,23.829999923706055,25.729999542236328,23.59000015258789,25.079999923706055,8550500,0.0,0.0,SNPS
2011-08-29 00:00:00-04:00,25.290000915527344,26.200000762939453,24.479999542236328,24.639999389648438,4079800,0.0,0.0,SNPS
2011-09-05 00:00:00-04:00,24.0,25.770000457763672,23.899999618530273,25.049999237060547,5631000,0.0,0.0,SNPS
2011-09-12 00:00:00-04:00,24.700000762939453,26.25,24.559999465942383,25.989999771118164,7825600,0.0,0.0,SNPS
2011-09-19 00:00:00-04:00,25.59000015258789,25.770000457763672,23.649999618530273,24.020000457763672,6355600,0.0,0.0,SNPS
2011-09-26 00:00:00-04:00,24.200000762939453,25.34000015258789,23.739999771118164,24.360000610351562,5090300,0.0,0.0,SNPS
2011-10-03 00:00:00-04:00,24.170000076293945,25.670000076293945,23.040000915527344,25.18000030517578,7271600,0.0,0.0,SNPS
2011-10-10 00:00:00-04:00,25.459999084472656,26.479999542236328,25.31999969482422,26.459999084472656,4931200,0.0,0.0,SNPS
2011-10-17 00:00:00-04:00,26.260000228881836,26.90999984741211,25.709999084472656,26.719999313354492,5745300,0.0,0.0,SNPS
2011-10-24 00:00:00-04:00,26.729999542236328,27.489999771118164,26.1299991607666,27.190000534057617,5648000,0.0,0.0,SNPS
2011-10-31 00:00:00-04:00,26.760000228881836,27.440000534057617,25.899999618530273,27.110000610351562,5054800,0.0,0.0,SNPS
2011-11-07 00:00:00-05:00,27.059999465942383,27.489999771118164,26.40999984741211,27.43000030517578,4492600,0.0,0.0,SNPS
2011-11-14 00:00:00-05:00,27.190000534057617,27.850000381469727,26.850000381469727,27.219999313354492,4225800,0.0,0.0,SNPS
2011-11-21 00:00:00-05:00,26.790000915527344,27.0,26.18000030517578,26.68000030517578,3387500,0.0,0.0,SNPS
2011-11-28 00:00:00-05:00,27.030000686645508,28.049999237060547,26.959999084472656,27.440000534057617,7635300,0.0,0.0,SNPS
2011-12-05 00:00:00-05:00,27.649999618530273,28.020000457763672,27.209999084472656,28.020000457763672,5490300,0.0,0.0,SNPS
2011-12-12 00:00:00-05:00,27.540000915527344,27.770000457763672,26.59000015258789,26.8799991607666,4526000,0.0,0.0,SNPS
